Data obtained from AutoTrader on 07/09/2021
Car: Nissan Leaf

Year	Cost	Mileage	Range	Seller private
2011	3750	93500	46	1
2011	4175	72650	36	1
2011	4495	87427	44	0
2011	4599	55000	57	0
2011	4750	40125	51	0
2012	4995	66329	60	0
2013	4995	51887	46	0
2013	5000	69700	45	0
2012	5290	48893	48	0
2011	5394	24214	84	0
2013	5466	67890	65	0
2014	5595	65330	67	0
2013	5600	42000	65	0
2013	5749	42819	45	0
2013	5750	56000	84	1
2012	5790	44113	45	0
2014	5990	51619	66	0
2014	5995	65000	70	0
2013	6000	60000	60	1
2015	6250	36800	95	1
2014	6277	53669	60	0
2015	6290	42215	60	0
2013	6350	43073	85	0
2014	6384	44380	56	0
2014	6450	68159	60	1
2014	6450	45000	67	0
2014	6496	71000	90	1
2013	6499	48000	60	1
